date,open,high,low,close,volume
2021-09-26 18:00:00,1752.0,1752.0,1750.5,1751.2,28
2021-09-26 18:00:05,1750.1,1750.8,1750.0,1750.8,3
2021-09-26 18:00:10,1750.8,1750.8,1750.6,1750.6,3
2021-09-26 18:00:15,1750.2,1750.2,1749.9,1749.9,2
2021-09-26 18:00:20,1750.0,1750.0,1750.0,1750.0,1
2021-09-26 18:00:25,1750.5,1750.5,1750.3,1750.3,2
2021-09-26 18:00:30,1750.0,1750.0,1750.0,1750.0,6
2021-09-26 18:00:35,1749.6,1749.7,1749.5,1749.7,3
2021-09-26 18:00:40,1749.1,1749.1,1748.8,1748.8,2
2021-09-26 18:00:45,1749.2,1749.2,1749.2,1749.2,1
2021-09-26 18:00:50,1749.2,1749.2,1749.1,1749.1,4
2021-09-26 18:00:55,1749.1,1749.1,1749.1,1749.1,0
2021-09-26 18:01:00,1749.1,1749.1,1749.1,1749.1,0
2021-09-26 18:01:05,1749.4,1749.4,1749.2,1749.2,2
2021-09-26 18:01:10,1749.2,1749.2,1749.2,1749.2,0
2021-09-26 18:01:15,1749.5,1749.7,1749.5,1749.7,4
2021-09-26 18:01:20,1749.7,1749.7,1749.7,1749.7,0
2021-09-26 18:01:25,1749.4,1749.4,1749.4,1749.4,1
2021-09-26 18:01:30,1749.4,1749.4,1749.4,1749.4,0
2021-09-26 18:01:35,1749.4,1749.4,1749.4,1749.4,1
2021-09-26 18:01:40,1749.4,1749.4,1749.0,1749.0,8
2021-09-26 18:01:45,1749.0,1749.0,1749.0,1749.0,0
2021-09-26 18:01:50,1748.7,1748.7,1748.7,1748.7,1
2021-09-26 18:01:55,1749.1,1749.2,1749.1,1749.2,3
2021-09-26 18:02:00,1748.9,1748.9,1748.9,1748.9,1
2021-09-26 18:02:05,1748.9,1748.9,1748.9,1748.9,0
2021-09-26 18:02:10,1749.2,1749.4,1749.2,1749.2,5
2021-09-26 18:02:15,1748.8,1748.8,1748.6,1748.6,3
2021-09-26 18:02:20,1748.6,1748.6,1748.6,1748.6,0
2021-09-26 18:02:25,1749.4,1749.5,1749.4,1749.5,4
2021-09-26 18:02:30,1749.5,1749.5,1749.5,1749.5,0
2021-09-26 18:02:35,1749.7,1749.7,1749.4,1749.7,3
2021-09-26 18:02:40,1749.9,1750.0,1749.9,1750.0,6
