date,open,high,low,close,volume
2021-10-03 18:00:00,14781.0,14787.5,14778.25,14783.0,359
2021-10-03 18:00:05,14784.0,14785.0,14781.5,14785.0,42
2021-10-03 18:00:15,14786.2,14788.5,14785.0,14787.0,62
2021-10-03 18:00:25,14789.5,14792.2,14789.2,14791.2,108
2021-10-03 18:00:30,14791.5,14793.8,14791.0,14793.0,47
2021-10-03 18:00:35,14793.0,14795.0,14791.0,14791.5,64
2021-10-03 18:00:40,14791.2,14793.0,14789.5,14790.5,55
2021-10-03 18:00:45,14790.8,14792.2,14790.2,14791.2,57
2021-10-03 18:00:50,14791.2,14792.8,14791.0,14792.5,27
2021-10-03 18:00:55,14793.2,14794.0,14792.2,14794.0,36
2021-10-03 18:01:00,14794.0,14797.8,14793.2,14795.0,87
2021-10-03 18:01:05,14796.0,14797.0,14793.5,14795.2,53
2021-10-03 18:01:10,14795.5,14798.0,14795.2,14796.2,79
2021-10-03 18:01:15,14796.8,14797.5,14796.2,14796.8,46
2021-10-03 18:01:20,14796.5,14797.8,14796.5,14797.2,31
2021-10-03 18:01:25,14796.8,14798.0,14793.8,14794.0,64
2021-10-03 18:01:30,14793.5,14794.8,14792.8,14794.8,57
2021-10-03 18:01:35,14794.8,14795.0,14793.5,14793.5,38
2021-10-03 18:01:40,14793.2,14793.8,14791.2,14792.2,59
2021-10-03 18:01:50,14790.8,14793.2,14790.0,14793.2,55
2021-10-03 18:01:55,14793.8,14795.0,14792.8,14793.8,43
2021-10-03 18:02:05,14793.8,14793.8,14790.5,14791.5,30
2021-10-03 18:02:15,14790.8,14791.0,14789.8,14789.8,27
2021-10-03 18:02:20,14789.5,14791.0,14789.5,14790.5,24
2021-10-03 18:02:30,14790.8,14791.2,14790.2,14790.5,29
2021-10-03 18:02:35,14790.2,14791.0,14787.2,14788.2,43
2021-10-03 18:02:40,14787.8,14788.2,14787.2,14787.8,13
2021-10-03 18:02:50,14789.5,14790.0,14787.8,14789.0,31
2021-10-03 18:02:55,14789.5,14791.0,14789.0,14790.0,42
2021-10-03 18:03:00,14790.5,14791.0,14788.5,14788.5,29
2021-10-03 18:03:05,14788.8,14788.8,14787.5,14787.5,11
2021-10-03 18:03:10,14788.0,14789.2,14787.8,14788.8,18
2021-10-03 18:03:15,14788.2,14788.5,14787.5,14787.5,11
2021-10-03 18:03:20,14788.0,14789.5,14787.5,14788.8,28
2021-10-03 18:03:25,14788.2,14791.2,14788.0,14791.2,48
2021-10-03 18:03:30,14790.8,14791.0,14788.8,14788.8,20
2021-10-03 18:03:35,14789.0,14789.2,14787.5,14787.5,13
