date,open,high,low,close,volume
2021-10-03 18:00:00,4348.75,4349.75,4348.25,4348.5,313
2021-10-03 18:00:05,4349.0,4349.5,4348.75,4349.0,35
2021-10-03 18:00:15,4350.5,4352.5,4350.2,4352.2,96
2021-10-03 18:00:20,4352.0,4353.2,4351.5,4352.8,125
2021-10-03 18:00:30,4353.0,4353.5,4352.8,4353.5,82
2021-10-03 18:00:35,4353.5,4354.0,4353.2,4353.2,68
2021-10-03 18:00:45,4353.0,4353.5,4353.0,4353.5,19
2021-10-03 18:00:55,4353.8,4354.0,4353.5,4354.0,21
2021-10-03 18:01:00,4354.0,4355.0,4354.0,4354.5,110
2021-10-03 18:01:05,4354.5,4355.2,4354.5,4355.2,100
2021-10-03 18:01:10,4355.2,4355.5,4354.5,4354.8,46
2021-10-03 18:01:15,4354.8,4355.0,4354.5,4355.0,41
2021-10-03 18:01:20,4354.5,4355.0,4354.5,4354.8,30
2021-10-03 18:01:30,4354.0,4355.0,4354.0,4355.0,70
2021-10-03 18:01:35,4354.5,4354.5,4354.5,4354.5,8
2021-10-03 18:01:40,4354.5,4354.5,4354.2,4354.5,22
2021-10-03 18:01:45,4354.0,4354.8,4354.0,4354.0,21
2021-10-03 18:01:50,4354.0,4354.5,4354.0,4354.5,39
2021-10-03 18:01:55,4354.5,4354.8,4354.2,4354.8,27
2021-10-03 18:02:00,4354.5,4354.5,4353.8,4354.2,46
2021-10-03 18:02:05,4354.2,4354.2,4353.5,4353.8,88
2021-10-03 18:02:10,4353.5,4354.0,4352.8,4353.0,93
2021-10-03 18:02:15,4353.0,4353.2,4352.8,4352.8,78
2021-10-03 18:02:20,4352.5,4353.2,4352.5,4353.0,81
2021-10-03 18:02:25,4353.0,4353.5,4353.0,4353.2,63
2021-10-03 18:02:30,4353.2,4353.2,4353.2,4353.2,1
2021-10-03 18:02:35,4353.2,4353.5,4352.8,4352.8,101
2021-10-03 18:02:45,4352.8,4352.8,4352.2,4352.2,85
2021-10-03 18:02:50,4352.8,4352.8,4352.2,4352.8,11
2021-10-03 18:02:55,4352.8,4353.0,4352.5,4352.8,17
2021-10-03 18:03:00,4353.0,4353.0,4352.5,4352.8,14
2021-10-03 18:03:05,4352.8,4352.8,4352.5,4352.5,19
2021-10-03 18:03:10,4352.5,4353.2,4352.5,4352.5,23
2021-10-03 18:03:15,4352.2,4352.5,4352.2,4352.2,19
2021-10-03 18:03:20,4352.0,4352.2,4352.0,4352.2,4
2021-10-03 18:03:25,4352.0,4353.0,4352.0,4352.8,102
2021-10-03 18:03:30,4353.2,4353.2,4352.2,4352.2,21
